CMDLINE python main.py
MEM 2.093750 1704892701.5844
MEM 12.710938 1704892701.6854
MEM 17.660156 1704892701.7864
MEM 22.468750 1704892701.8875
MEM 24.167969 1704892701.9884
MEM 27.109375 1704892702.0894
MEM 30.359375 1704892702.1904
MEM 34.316406 1704892702.2908
MEM 38.875000 1704892702.3920
MEM 43.335938 1704892702.4929
MEM 47.464844 1704892702.5938
MEM 49.488281 1704892702.6948
MEM 52.820312 1704892702.7959
MEM 54.550781 1704892702.8971
MEM 59.351562 1704892702.9981
MEM 62.101562 1704892703.0989
MEM 62.214844 1704892703.2000
MEM 62.640625 1704892703.3008
MEM 65.574219 1704892703.4019
MEM 66.531250 1704892703.5022
MEM 66.679688 1704892703.6029
MEM 66.691406 1704892703.7033
MEM 66.691406 1704892703.8043
MEM 66.714844 1704892703.9053
MEM 66.761719 1704892704.0064
MEM 66.761719 1704892704.1072
MEM 66.761719 1704892704.2083
MEM 66.761719 1704892704.3089
MEM 66.761719 1704892704.4106
MEM 66.761719 1704892704.5117
MEM 66.761719 1704892704.6128
MEM 66.761719 1704892704.7141
MEM 66.761719 1704892704.8153
MEM 66.761719 1704892704.9161
MEM 66.761719 1704892705.0171
MEM 66.761719 1704892705.1181
MEM 66.761719 1704892705.2183
MEM 66.773438 1704892705.3192
MEM 66.773438 1704892705.4199
MEM 66.773438 1704892705.5209
MEM 66.773438 1704892705.6221
MEM 66.773438 1704892705.7233
MEM 66.773438 1704892705.8243
MEM 66.773438 1704892705.9248
MEM 66.773438 1704892706.0251
MEM 66.773438 1704892706.1258
MEM 66.773438 1704892706.2264
MEM 66.773438 1704892706.3267
MEM 66.773438 1704892706.4272
MEM 66.773438 1704892706.5280
MEM 66.773438 1704892706.6290
MEM 66.773438 1704892706.7302
MEM 66.773438 1704892706.8308
MEM 66.773438 1704892706.9318
MEM 66.773438 1704892707.0327
MEM 66.773438 1704892707.1330
MEM 66.773438 1704892707.2337
MEM 66.773438 1704892707.3346
MEM 66.773438 1704892707.4353
MEM 66.773438 1704892707.5363
MEM 66.773438 1704892707.6370
MEM 66.773438 1704892707.7376
MEM 66.773438 1704892707.8386
